"Stasiun","Tahun","Bulan","Jumlah Ch","Keterangan Ch","Tanggal"
"BINANGUN","1984","9","","3","1984/9"
"BINANGUN","1984","10","","3","1984/10"
"BINANGUN","1984","11","","3","1984/11"
"BINANGUN","1984","12","","3","1984/12"
"BINANGUN","1985","1","","3","1985/1"
"BINANGUN","1985","2","","3","1985/2"
"BINANGUN","1985","3","213","1","1985/3"
"BINANGUN","1985","4","","3","1985/4"
"BINANGUN","1985","5","110","1","1985/5"
"BINANGUN","1985","6","164","1","1985/6"
"BINANGUN","1985","7","112","1","1985/7"
"BINANGUN","1985","8","","3","1985/8"
"BINANGUN","1985","9","","3","1985/9"
"BINANGUN","1985","10","","3","1985/10"
"BINANGUN","1985","11","788","3","1985/11"
"BINANGUN","1985","12","393","2","1985/12"
"BINANGUN","1986","1","283","1","1986/1"
"BINANGUN","1986","2","289","1","1986/2"
"BINANGUN","1986","3","443","2","1986/3"
"BINANGUN","1986","4","371","2","1986/4"
"BINANGUN","1986","5","80","0","1986/5"
"BINANGUN","1986","6","394","2","1986/6"
"BINANGUN","1986","7","301","2","1986/7"
"BINANGUN","1986","8","281","1","1986/8"
"BINANGUN","1986","9","553","3","1986/9"
"BINANGUN","1986","10","494","2","1986/10"
"BINANGUN","1986","11","574","3","1986/11"
"BINANGUN","1986","12","292","1","1986/12"
"BINANGUN","1987","1","","3","1987/1"
"BINANGUN","1987","2","","3","1987/2"
"BINANGUN","1987","3","","3","1987/3"
"BINANGUN","1987","4","","3","1987/4"
"BINANGUN","1987","5","","3","1987/5"
"BINANGUN","1987","6","","3","1987/6"
"BINANGUN","1987","7","","3","1987/7"
"BINANGUN","1987","8","","3","1987/8"
"BINANGUN","1987","9","","3","1987/9"
"BINANGUN","1987","10","","3","1987/10"
"BINANGUN","1987","11","839","3","1987/11"
"BINANGUN","1987","12","632","3","1987/12"
"BINANGUN","1988","1","469","2","1988/1"
"BINANGUN","1988","2","123","1","1988/2"
"BINANGUN","1988","3","357","2","1988/3"
"BINANGUN","1988","4","254","1","1988/4"
"BINANGUN","1988","5","383","2","1988/5"
"BINANGUN","1988","6","357","2","1988/6"
"BINANGUN","1988","7","","3","1988/7"
"BINANGUN","1988","8","","3","1988/8"
"BINANGUN","1988","9","115","1","1988/9"
"BINANGUN","1988","10","536","3","1988/10"
"BINANGUN","1988","11","571","3","1988/11"
"BINANGUN","1988","12","271","1","1988/12"
"BINANGUN","1989","1","","3","1989/1"
"BINANGUN","1989","2","","3","1989/2"
"BINANGUN","1989","3","","3","1989/3"
"BINANGUN","1989","4","","3","1989/4"
"BINANGUN","1989","5","","3","1989/5"
"BINANGUN","1989","6","","3","1989/6"
"BINANGUN","1989","7","","3","1989/7"
"BINANGUN","1989","8","","3","1989/8"
"BINANGUN","1989","9","","3","1989/9"
"BINANGUN","1989","10","","3","1989/10"
"BINANGUN","1989","11","","3","1989/11"
"BINANGUN","1989","12","","3","1989/12"
"BINANGUN","1990","1","239","1","1990/1"
"BINANGUN","1990","2","157","1","1990/2"
"BINANGUN","1990","3","340","2","1990/3"
"BINANGUN","1990","4","124","1","1990/4"
"BINANGUN","1990","5","70","0","1990/5"
"BINANGUN","1990","6","339","2","1990/6"
"BINANGUN","1990","7","156","1","1990/7"
"BINANGUN","1990","8","367","2","1990/8"
"BINANGUN","1990","9","","3","1990/9"
"BINANGUN","1990","10","163","1","1990/10"
"BINANGUN","1990","11","614","3","1990/11"
"BINANGUN","1990","12","442","2","1990/12"
"BINANGUN","1991","1","411","2","1991/1"
"BINANGUN","1991","2","319","2","1991/2"
"BINANGUN","1991","3","177","1","1991/3"
"BINANGUN","1991","4","293","1","1991/4"
"BINANGUN","1991","5","25","0","1991/5"
"BINANGUN","1991","6","12","0","1991/6"
"BINANGUN","1991","7","","3","1991/7"
"BINANGUN","1991","8","","3","1991/8"
"BINANGUN","1991","9","","3","1991/9"
"BINANGUN","1991","10","93","0","1991/10"
"BINANGUN","1991","11","486","2","1991/11"
"BINANGUN","1991","12","183","1","1991/12"
"BINANGUN","1992","1","","3","1992/1"
"BINANGUN","1992","2","323","2","1992/2"
"BINANGUN","1992","3","","3","1992/3"
"BINANGUN","1992","4","","3","1992/4"
"BINANGUN","1992","5","","3","1992/5"
"BINANGUN","1992","6","79","0","1992/6"
"BINANGUN","1992","7","40","0","1992/7"
"BINANGUN","1992","8","","3","1992/8"
"BINANGUN","1992","9","168","1","1992/9"
"BINANGUN","1992","10","1081","3","1992/10"
"BINANGUN","1992","11","","3","1992/11"
"BINANGUN","1992","12","","3","1992/12"
"BINANGUN","1993","1","","3","1993/1"
"BINANGUN","1993","2","","3","1993/2"
"BINANGUN","1993","3","","3","1993/3"
"BINANGUN","1993","4","","3","1993/4"
"BINANGUN","1993","5","","3","1993/5"
"BINANGUN","1993","6","","3","1993/6"
"BINANGUN","1993","7","","3","1993/7"
"BINANGUN","1993","8","","3","1993/8"
"BINANGUN","1993","9","","3","1993/9"
"BINANGUN","1993","10","","3","1993/10"
"BINANGUN","1993","11","","3","1993/11"
"BINANGUN","1993","12","","3","1993/12"
"BINANGUN","1994","1","704","3","1994/1"
"BINANGUN","1994","2","192","1","1994/2"
"BINANGUN","1994","3","584","3","1994/3"
"BINANGUN","1994","4","592","3","1994/4"
"BINANGUN","1994","5","170","1","1994/5"
"BINANGUN","1994","6","","3","1994/6"
"BINANGUN","1994","7","","3","1994/7"
"BINANGUN","1994","8","","3","1994/8"
"BINANGUN","1994","9","","3","1994/9"
"BINANGUN","1994","10","13","0","1994/10"
"BINANGUN","1994","11","144","1","1994/11"
"BINANGUN","1994","12","324","2","1994/12"
"BINANGUN","1995","1","603","3","1995/1"
"BINANGUN","1995","2","787","3","1995/2"
"BINANGUN","1995","3","449","2","1995/3"
"BINANGUN","1995","4","120","1","1995/4"
"BINANGUN","1995","5","346","2","1995/5"
"BINANGUN","1995","6","460","2","1995/6"
"BINANGUN","1995","7","318","2","1995/7"
"BINANGUN","1995","8","322","2","1995/8"
"BINANGUN","1995","9","","3","1995/9"
"BINANGUN","1995","10","571","3","1995/10"
"BINANGUN","1995","11","405","2","1995/11"
"BINANGUN","1995","12","400","2","1995/12"
"BINANGUN","1996","1","511","3","1996/1"
"BINANGUN","1996","2","423","2","1996/2"
"BINANGUN","1996","3","374","2","1996/3"
"BINANGUN","1996","4","165","1","1996/4"
"BINANGUN","1996","5","180","1","1996/5"
"BINANGUN","1996","6","63","0","1996/6"
"BINANGUN","1996","7","59","0","1996/7"
"BINANGUN","1996","8","163","1","1996/8"
"BINANGUN","1996","9","74","0","1996/9"
"BINANGUN","1996","10","1043","3","1996/10"
"BINANGUN","1996","11","536","3","1996/11"
"BINANGUN","1996","12","694","3","1996/12"
"BINANGUN","1997","1","101","1","1997/1"
"BINANGUN","1997","2","157","1","1997/2"
"BINANGUN","1997","3","56","0","1997/3"
"BINANGUN","1997","4","44","0","1997/4"
"BINANGUN","1997","5","111","1","1997/5"
"BINANGUN","1997","6","26","0","1997/6"
"BINANGUN","1997","7","22","0","1997/7"
"BINANGUN","1997","8","","3","1997/8"
"BINANGUN","1997","9","6","0","1997/9"
"BINANGUN","1997","10","10","0","1997/10"
"BINANGUN","1997","11","15","0","1997/11"
"BINANGUN","1997","12","259","1","1997/12"
"BINANGUN","1998","1","248","1","1998/1"
"BINANGUN","1998","2","252","1","1998/2"
"BINANGUN","1998","3","182","1","1998/3"
"BINANGUN","1998","4","133","1","1998/4"
"BINANGUN","1998","5","240","1","1998/5"
"BINANGUN","1998","6","313","2","1998/6"
"BINANGUN","1998","7","231","1","1998/7"
"BINANGUN","1998","8","159","1","1998/8"
"BINANGUN","1998","9","187","1","1998/9"
"BINANGUN","1998","10","344","2","1998/10"
"BINANGUN","1998","11","563","3","1998/11"
"BINANGUN","1998","12","206","1","1998/12"
"BINANGUN","1999","1","254","1","1999/1"
"BINANGUN","1999","2","124","1","1999/2"
"BINANGUN","1999","3","335","2","1999/3"
"BINANGUN","1999","4","205","1","1999/4"
"BINANGUN","1999","5","121","1","1999/5"
"BINANGUN","1999","6","52","0","1999/6"
"BINANGUN","1999","7","","3","1999/7"
"BINANGUN","1999","8","71","0","1999/8"
"BINANGUN","1999","9","59","0","1999/9"
"BINANGUN","1999","10","286","1","1999/10"
"BINANGUN","1999","11","384","2","1999/11"
"BINANGUN","1999","12","438","2","1999/12"
"BINANGUN","2000","1","319","2","2000/1"
"BINANGUN","2000","2","247","1","2000/2"
"BINANGUN","2000","3","227","1","2000/3"
"BINANGUN","2000","4","359","2","2000/4"
"BINANGUN","2000","5","226","1","2000/5"
"BINANGUN","2000","6","27","0","2000/6"
"BINANGUN","2000","7","","3","2000/7"
"BINANGUN","2000","8","57","0","2000/8"
"BINANGUN","2000","9","85","0","2000/9"
"BINANGUN","2000","10","743","3","2000/10"
"BINANGUN","2000","11","716","3","2000/11"
"BINANGUN","2000","12","223","1","2000/12"
"BINANGUN","2001","1","","3","2001/1"
"BINANGUN","2001","2","127","1","2001/2"
"BINANGUN","2001","3","268","1","2001/3"
"BINANGUN","2001","4","147","1","2001/4"
"BINANGUN","2001","5","20","0","2001/5"
"BINANGUN","2001","6","175","1","2001/6"
"BINANGUN","2001","7","105","1","2001/7"
"BINANGUN","2001","8","","3","2001/8"
"BINANGUN","2001","9","","3","2001/9"
"BINANGUN","2001","10","1018","3","2001/10"
"BINANGUN","2001","11","510","3","2001/11"
"BINANGUN","2001","12","240","1","2001/12"
"BINANGUN","2002","1","164","1","2002/1"
"BINANGUN","2002","2","","3","2002/2"
"BINANGUN","2002","3","","3","2002/3"
"BINANGUN","2002","4","","3","2002/4"
"BINANGUN","2002","5","","3","2002/5"
"BINANGUN","2002","6","","3","2002/6"
"BINANGUN","2002","7","","3","2002/7"
"BINANGUN","2002","8","","3","2002/8"
"BINANGUN","2002","9","","3","2002/9"
"BINANGUN","2002","10","","3","2002/10"
"BINANGUN","2002","11","","3","2002/11"
"BINANGUN","2002","12","","3","2002/12"
"BINANGUN","2003","1","","3","2003/1"
"BINANGUN","2003","2","","3","2003/2"
"BINANGUN","2003","3","","3","2003/3"
"BINANGUN","2003","4","","3","2003/4"
"BINANGUN","2003","5","","3","2003/5"
"BINANGUN","2003","6","","3","2003/6"
"BINANGUN","2003","7","","3","2003/7"
"BINANGUN","2003","8","","3","2003/8"
"BINANGUN","2003","9","","3","2003/9"
"BINANGUN","2003","10","","3","2003/10"
"BINANGUN","2003","11","","3","2003/11"
"BINANGUN","2003","12","","3","2003/12"
"BINANGUN","2004","1","","3","2004/1"
"BINANGUN","2004","2","","3","2004/2"
"BINANGUN","2004","3","","3","2004/3"
"BINANGUN","2004","4","","3","2004/4"
"BINANGUN","2004","5","","3","2004/5"
"BINANGUN","2004","6","","3","2004/6"
"BINANGUN","2004","7","","3","2004/7"
"BINANGUN","2004","8","","3","2004/8"
"BINANGUN","2004","9","","3","2004/9"
"BINANGUN","2004","10","","3","2004/10"
"BINANGUN","2004","11","","3","2004/11"
"BINANGUN","2004","12","","3","2004/12"
"BINANGUN","2005","1","","3","2005/1"
"BINANGUN","2005","2","","3","2005/2"
"BINANGUN","2005","3","","3","2005/3"
"BINANGUN","2005","4","","3","2005/4"
"BINANGUN","2005","5","","3","2005/5"
"BINANGUN","2005","6","","3","2005/6"
"BINANGUN","2005","7","","3","2005/7"
"BINANGUN","2005","8","","3","2005/8"
"BINANGUN","2005","9","","3","2005/9"
"BINANGUN","2005","10","","3","2005/10"
"BINANGUN","2005","11","","3","2005/11"
"BINANGUN","2005","12","","3","2005/12"
"BINANGUN","2006","1","","3","2006/1"
"BINANGUN","2006","2","","3","2006/2"
"BINANGUN","2006","3","","3","2006/3"
"BINANGUN","2006","4","","3","2006/4"
"BINANGUN","2006","5","","3","2006/5"
"BINANGUN","2006","6","","3","2006/6"
"BINANGUN","2006","7","","3","2006/7"
"BINANGUN","2006","8","","3","2006/8"
"BINANGUN","2006","9","","3","2006/9"
"BINANGUN","2006","10","","3","2006/10"
"BINANGUN","2006","11","","3","2006/11"
"BINANGUN","2006","12","","3","2006/12"
"BINANGUN","2007","1","","3","2007/1"
"BINANGUN","2007","2","","3","2007/2"
"BINANGUN","2007","3","305","2","2007/3"
"BINANGUN","2007","4","","3","2007/4"
"BINANGUN","2007","5","","3","2007/5"
"BINANGUN","2007","6","80","0","2007/6"
"BINANGUN","2007","7","","3","2007/7"
"BINANGUN","2007","8","","3","2007/8"
"BINANGUN","2007","9","","3","2007/9"
"BINANGUN","2007","10","59","0","2007/10"
"BINANGUN","2007","11","885","3","2007/11"
"BINANGUN","2007","12","437","2","2007/12"
"BINANGUN","2008","1","85","0","2008/1"
"BINANGUN","2008","2","","3","2008/2"
"BINANGUN","2008","3","222","1","2008/3"
"BINANGUN","2008","4","70","0","2008/4"
"BINANGUN","2008","5","11","0","2008/5"
"BINANGUN","2008","6","","3","2008/6"
"BINANGUN","2008","7","","3","2008/7"
"BINANGUN","2008","8","","3","2008/8"
"BINANGUN","2008","9","62","0","2008/9"
"BINANGUN","2008","10","461","2","2008/10"
"BINANGUN","2008","11","370","2","2008/11"
"BINANGUN","2008","12","340","2","2008/12"
"BINANGUN","2009","1","366","2","2009/1"
"BINANGUN","2009","2","227","1","2009/2"
"BINANGUN","2009","3","148","1","2009/3"
"BINANGUN","2009","4","81","0","2009/4"
"BINANGUN","2009","5","106","1","2009/5"
"BINANGUN","2009","6","197","1","2009/6"
"BINANGUN","2009","7","40","0","2009/7"
"BINANGUN","2009","8","","3","2009/8"
"BINANGUN","2009","9","29","0","2009/9"
"BINANGUN","2009","10","","3","2009/10"
"BINANGUN","2009","11","","3","2009/11"
"BINANGUN","2009","12","","3","2009/12"
"BINANGUN","2010","1","306","2","2010/1"
"BINANGUN","2010","2","143","1","2010/2"
"BINANGUN","2010","3","372","2","2010/3"
"BINANGUN","2010","4","324","2","2010/4"
"BINANGUN","2010","5","523","3","2010/5"
"BINANGUN","2010","6","","3","2010/6"
"BINANGUN","2010","7","450","2","2010/7"
"BINANGUN","2010","8","343","2","2010/8"
"BINANGUN","2010","9","366","2","2010/9"
"BINANGUN","2010","10","25","0","2010/10"
"BINANGUN","2010","11","453","2","2010/11"
"BINANGUN","2010","12","471","2","2010/12"
"BINANGUN","2011","1","183","1","2011/1"
"BINANGUN","2011","2","","3","2011/2"
"BINANGUN","2011","3","","3","2011/3"
"BINANGUN","2011","4","","3","2011/4"
"BINANGUN","2011","5","","3","2011/5"
"BINANGUN","2011","6","","3","2011/6"
"BINANGUN","2011","7","","3","2011/7"
"BINANGUN","2011","8","","3","2011/8"
"BINANGUN","2011","9","","3","2011/9"
"BINANGUN","2011","10","","3","2011/10"
"BINANGUN","2011","11","","3","2011/11"
"BINANGUN","2011","12","549","3","2011/12"
"BINANGUN","2012","1","381","2","2012/1"
"BINANGUN","2012","2","224","1","2012/2"
"BINANGUN","2012","3","216","1","2012/3"
"BINANGUN","2012","4","198","1","2012/4"
"BINANGUN","2012","5","130","1","2012/5"
"BINANGUN","2012","6","20","0","2012/6"
"BINANGUN","2012","7","","3","2012/7"
"BINANGUN","2012","8","","3","2012/8"
"BINANGUN","2012","9","6","0","2012/9"
"BINANGUN","2012","10","84","0","2012/10"
"BINANGUN","2012","11","","3","2012/11"
"BINANGUN","2012","12","676","3","2012/12"
"BINANGUN","2013","1","457","2","2013/1"
"BINANGUN","2013","2","264","1","2013/2"
"BINANGUN","2013","3","168","1","2013/3"
"BINANGUN","2013","4","400","2","2013/4"
"BINANGUN","2013","5","315","2","2013/5"
"BINANGUN","2013","6","323","2","2013/6"
"BINANGUN","2013","7","393","2","2013/7"
"BINANGUN","2013","8","47","0","2013/8"
"BINANGUN","2013","9","16","0","2013/9"
"BINANGUN","2013","10","70","0","2013/10"
"BINANGUN","2013","11","319","2","2013/11"
"BINANGUN","2013","12","199","1","2013/12"
"BINANGUN","2014","1","452","2","2014/1"
"BINANGUN","2014","2","266","1","2014/2"
"BINANGUN","2014","3","89","0","2014/3"
"BINANGUN","2014","4","280","1","2014/4"
"BINANGUN","2014","5","61","0","2014/5"
"BINANGUN","2014","6","193","1","2014/6"
"BINANGUN","2014","7","460","2","2014/7"
"BINANGUN","2014","8","131","1","2014/8"
"BINANGUN","2014","9","","3","2014/9"
"BINANGUN","2014","10","160","1","2014/10"
"BINANGUN","2014","11","365","2","2014/11"
"BINANGUN","2014","12","591","3","2014/12"
"BINANGUN","2015","1","323","2","2015/1"
"BINANGUN","2015","2","234","1","2015/2"
"BINANGUN","2015","3","328","2","2015/3"
"BINANGUN","2015","4","235","1","2015/4"
"BINANGUN","2015","5","68","0","2015/5"
"BINANGUN","2015","6","41","0","2015/6"
"BINANGUN","2015","7","","3","2015/7"
"BINANGUN","2015","8","","3","2015/8"
"BINANGUN","2015","9","7","0","2015/9"
"BINANGUN","2015","10","","3","2015/10"
"BINANGUN","2015","11","367","2","2015/11"
"BINANGUN","2015","12","421","2","2015/12"
"BINANGUN","2016","1","258","1","2016/1"
"BINANGUN","2016","2","359","2","2016/2"
"BINANGUN","2016","3","278","1","2016/3"
"BINANGUN","2016","4","237","1","2016/4"
"BINANGUN","2016","5","160","1","2016/5"
"BINANGUN","2016","6","453","2","2016/6"
"BINANGUN","2016","7","466","2","2016/7"
"BINANGUN","2016","8","126","1","2016/8"
"BINANGUN","2016","9","564","3","2016/9"
"BINANGUN","2016","10","603","3","2016/10"
"BINANGUN","2016","11","607","3","2016/11"
"BINANGUN","2016","12","430","2","2016/12"
"BINANGUN","2017","1","341","2","2017/1"
"BINANGUN","2017","2","378","2","2017/2"
"BINANGUN","2017","3","185","1","2017/3"
"BINANGUN","2017","4","377","2","2017/4"
"BINANGUN","2017","5","46","0","2017/5"
"BINANGUN","2017","6","192","1","2017/6"
"BINANGUN","2017","7","20","0","2017/7"
"BINANGUN","2017","8","15","0","2017/8"
"BINANGUN","2017","9","","3","2017/9"
"BINANGUN","2017","10","814","3","2017/10"
"BINANGUN","2017","11","396","2","2017/11"
"BINANGUN","2017","12","329","2","2017/12"
"BINANGUN","2018","1","429","2","2018/1"
"BINANGUN","2018","2","","3","2018/2"
"BINANGUN","2018","3","209","1","2018/3"
"BINANGUN","2018","4","173","1","2018/4"
"BINANGUN","2018","5","14","0","2018/5"
"BINANGUN","2018","6","7","0","2018/6"
"BINANGUN","2018","7","","3","2018/7"
"BINANGUN","2018","8","8","0","2018/8"
"BINANGUN","2018","9","10","0","2018/9"
"BINANGUN","2018","10","","3","2018/10"
"BINANGUN","2018","11","","3","2018/11"
"BINANGUN","2018","12","","3","2018/12"
"BINANGUN","2019","1","523","3","2019/1"
"BINANGUN","2019","2","451","2","2019/2"
"BINANGUN","2019","3","370","2","2019/3"
"BINANGUN","2019","4","222","1","2019/4"
"BINANGUN","2019","5","52","0","2019/5"
"BINANGUN","2019","6","5","0","2019/6"
"BINANGUN","2019","7","","3","2019/7"
"BINANGUN","2019","8","","3","2019/8"
"BINANGUN","2019","9","","3","2019/9"
"BINANGUN","2019","10","","3","2019/10"
"BINANGUN","2019","11","","3","2019/11"
"BINANGUN","2019","12","","3","2019/12"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","1","259","1","2019/1"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","2","209","1","2019/2"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","3","247","1","2019/3"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","4","138","1","2019/4"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","5","30","0","2019/5"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","6","8","0","2019/6"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","7","","3","2019/7"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","8","","3","2019/8"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","9","","3","2019/9"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","10","","3","2019/10"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","11","","3","2019/11"
"BOJONGSARI (KARANGSARI)_x000D_
","2019","12","","3","2019/12"
"BPP ADIPALA","2019","1","436","2","2019/1"
"BPP ADIPALA","2019","2","442","2","2019/2"
"BPP ADIPALA","2019","3","405","2","2019/3"
"BPP ADIPALA","2019","4","239","1","2019/4"
"BPP ADIPALA","2019","5","57","0","2019/5"
"BPP ADIPALA","2019","6","0","0","2019/6"
"BPP ADIPALA","2019","7","","3","2019/7"
"BPP ADIPALA","2019","8","","3","2019/8"
"BPP ADIPALA","2019","9","","3","2019/9"
"BPP ADIPALA","2019","10","","3","2019/10"
"BPP ADIPALA","2019","11","","3","2019/11"
"BPP ADIPALA","2019","12","","3","2019/12"
"BPP CIPARI_x000D_
","2019","1","337","2","2019/1"
"BPP CIPARI_x000D_
","2019","2","338","2","2019/2"
"BPP CIPARI_x000D_
","2019","3","278","1","2019/3"
"BPP CIPARI_x000D_
","2019","4","185","1","2019/4"
"BPP CIPARI_x000D_
","2019","5","20","0","2019/5"
"BPP CIPARI_x000D_
","2019","6","0","0","2019/6"
"BPP CIPARI_x000D_
","2019","7","","3","2019/7"
"BPP CIPARI_x000D_
","2019","8","","3","2019/8"
"BPP CIPARI_x000D_
","2019","9","","3","2019/9"
"BPP CIPARI_x000D_
","2019","10","","3","2019/10"
"BPP CIPARI_x000D_
","2019","11","","3","2019/11"
"BPP CIPARI_x000D_
","2019","12","","3","2019/12"
"BPP JERUK LEGI","1980","1","","3","1980/1"
"BPP JERUK LEGI","1980","2","172","1","1980/2"
"BPP JERUK LEGI","1980","3","129","1","1980/3"
"BPP JERUK LEGI","1980","4","","3","1980/4"
"BPP JERUK LEGI","1980","5","","3","1980/5"
"BPP JERUK LEGI","1980","6","","3","1980/6"
"BPP JERUK LEGI","1980","7","","3","1980/7"
"BPP JERUK LEGI","1980","8","78","0","1980/8"
"BPP JERUK LEGI","1980","9","22","0","1980/9"
"BPP JERUK LEGI","1980","10","243","1","1980/10"
"BPP JERUK LEGI","1980","11","679","3","1980/11"
"BPP JERUK LEGI","1980","12","146","1","1980/12"
"BPP JERUK LEGI","1981","1","152","1","1981/1"
"BPP JERUK LEGI","1981","2","239","1","1981/2"
"BPP JERUK LEGI","1981","3","257","1","1981/3"
"BPP JERUK LEGI","1981","4","281","1","1981/4"
"BPP JERUK LEGI","1981","5","165","1","1981/5"
"BPP JERUK LEGI","1981","6","541","3","1981/6"
"BPP JERUK LEGI","1981","7","434","2","1981/7"
"BPP JERUK LEGI","1981","8","98","0","1981/8"
"BPP JERUK LEGI","1981","9","111","1","1981/9"
"BPP JERUK LEGI","1981","10","143","1","1981/10"
"BPP JERUK LEGI","1981","11","374","2","1981/11"
"BPP JERUK LEGI","1981","12","159","1","1981/12"
"BPP JERUK LEGI","1982","1","343","2","1982/1"
"BPP JERUK LEGI","1982","2","109","1","1982/2"
"BPP JERUK LEGI","1982","3","275","1","1982/3"
"BPP JERUK LEGI","1982","4","","3","1982/4"
"BPP JERUK LEGI","1982","5","418","2","1982/5"
"BPP JERUK LEGI","1982","6","14","0","1982/6"
"BPP JERUK LEGI","1982","7","15","0","1982/7"
"BPP JERUK LEGI","1982","8","","3","1982/8"
"BPP JERUK LEGI","1982","9","","3","1982/9"
"BPP JERUK LEGI","1982","10","","3","1982/10"
"BPP JERUK LEGI","1982","11","","3","1982/11"
"BPP JERUK LEGI","1982","12","135","1","1982/12"
"BPP JERUK LEGI","1983","1","222","1","1983/1"
"BPP JERUK LEGI","1983","2","302","2","1983/2"
"BPP JERUK LEGI","1983","3","211","1","1983/3"
"BPP JERUK LEGI","1983","4","100","0","1983/4"
"BPP JERUK LEGI","1983","5","418","2","1983/5"
"BPP JERUK LEGI","1983","6","31","0","1983/6"
"BPP JERUK LEGI","1983","7","","3","1983/7"
"BPP JERUK LEGI","1983","8","","3","1983/8"
"BPP JERUK LEGI","1983","9","","3","1983/9"
"BPP JERUK LEGI","1983","10","259","1","1983/10"
"BPP JERUK LEGI","1983","11","342","2","1983/11"
"BPP JERUK LEGI","1983","12","183","1","1983/12"
"BPP JERUK LEGI","1984","1","144","1","1984/1"
"BPP JERUK LEGI","1984","2","166","1","1984/2"
"BPP JERUK LEGI","1984","3","289","1","1984/3"
"BPP JERUK LEGI","1984","4","377","2","1984/4"
"BPP JERUK LEGI","1984","5","142","1","1984/5"
"BPP JERUK LEGI","1984","6","27","0","1984/6"
"BPP JERUK LEGI","1984","7","80","0","1984/7"
"BPP JERUK LEGI","1984","8","42","0","1984/8"
"BPP JERUK LEGI","1984","9","994","3","1984/9"
"BPP JERUK LEGI","1984","10","220","1","1984/10"
"BPP JERUK LEGI","1984","11","285","1","1984/11"
"BPP JERUK LEGI","1984","12","380","2","1984/12"
"BPP JERUK LEGI","1985","1","340","2","1985/1"
"BPP JERUK LEGI","1985","2","297","1","1985/2"
"BPP JERUK LEGI","1985","3","154","1","1985/3"
"BPP JERUK LEGI","1985","4","310","2","1985/4"
"BPP JERUK LEGI","1985","5","38","0","1985/5"
"BPP JERUK LEGI","1985","6","","3","1985/6"
"BPP JERUK LEGI","1985","7","","3","1985/7"
"BPP JERUK LEGI","1985","8","8","0","1985/8"
